Study.Area,Region.Label,Sample.Label,distance
Monte Vista NWR,Default,6,1.31
Monte Vista NWR,Default,6,1.33
Monte Vista NWR,Default,6,1.4
Monte Vista NWR,Default,6,1.22
Monte Vista NWR,Default,6,1.71
Monte Vista NWR,Default,6,1.59
Monte Vista NWR,Default,6,1.58
Monte Vista NWR,Default,6,2.05
Monte Vista NWR,Default,6,1.91
Monte Vista NWR,Default,6,1.84
Monte Vista NWR,Default,6,1.99
Monte Vista NWR,Default,6,2.32
Monte Vista NWR,Default,6,2.36
Monte Vista NWR,Default,6,2.24
Monte Vista NWR,Default,6,2.12
Monte Vista NWR,Default,7,0.07
Monte Vista NWR,Default,7,0.27
Monte Vista NWR,Default,7,0.09
Monte Vista NWR,Default,7,0.05
Monte Vista NWR,Default,7,0.03
Monte Vista NWR,Default,7,0.24
Monte Vista NWR,Default,7,0.44
Monte Vista NWR,Default,7,0.32
Monte Vista NWR,Default,7,0.42
Monte Vista NWR,Default,7,0.33
Monte Vista NWR,Default,7,0.73
Monte Vista NWR,Default,7,0.78
Monte Vista NWR,Default,7,0.79
Monte Vista NWR,Default,7,0.62
Monte Vista NWR,Default,7,0.74
Monte Vista NWR,Default,7,0.87
Monte Vista NWR,Default,7,0.67
Monte Vista NWR,Default,7,1.17
Monte Vista NWR,Default,7,1.08
Monte Vista NWR,Default,7,1.49
Monte Vista NWR,Default,7,1.42
Monte Vista NWR,Default,7,1.34
Monte Vista NWR,Default,7,1.68
Monte Vista NWR,Default,7,1.58
Monte Vista NWR,Default,7,1.67
Monte Vista NWR,Default,7,1.94
Monte Vista NWR,Default,7,2
Monte Vista NWR,Default,7,2.09
Monte Vista NWR,Default,7,2.37
Monte Vista NWR,Default,7,2.16
Monte Vista NWR,Default,8,0.08
Monte Vista NWR,Default,8,0.16
Monte Vista NWR,Default,8,0.21
Monte Vista NWR,Default,8,0.09
Monte Vista NWR,Default,8,0.51
Monte Vista NWR,Default,8,0.56
Monte Vista NWR,Default,8,0.75
Monte Vista NWR,Default,8,0.62
Monte Vista NWR,Default,8,1.1
Monte Vista NWR,Default,8,1.17
Monte Vista NWR,Default,8,1.16
Monte Vista NWR,Default,8,1.12
Monte Vista NWR,Default,8,1.43
Monte Vista NWR,Default,8,1.42
Monte Vista NWR,Default,8,1.71
Monte Vista NWR,Default,8,1.71
Monte Vista NWR,Default,8,1.64
Monte Vista NWR,Default,8,1.66
Monte Vista NWR,Default,8,1.82
Monte Vista NWR,Default,8,2.08
Monte Vista NWR,Default,8,1.88
Monte Vista NWR,Default,8,2.17
Monte Vista NWR,Default,8,2.35
Monte Vista NWR,Default,8,2.39
Monte Vista NWR,Default,9,0.05
Monte Vista NWR,Default,9,0.03
Monte Vista NWR,Default,9,0.51
Monte Vista NWR,Default,9,0.38
Monte Vista NWR,Default,9,0.58
Monte Vista NWR,Default,9,0.45
Monte Vista NWR,Default,9,0.32
Monte Vista NWR,Default,9,0.72
Monte Vista NWR,Default,9,1.08
Monte Vista NWR,Default,9,1.13
Monte Vista NWR,Default,9,1.12
Monte Vista NWR,Default,9,1.18
Monte Vista NWR,Default,9,1.01
Monte Vista NWR,Default,9,1.05
Monte Vista NWR,Default,9,1.38
Monte Vista NWR,Default,9,1.39
Monte Vista NWR,Default,9,1.25
Monte Vista NWR,Default,9,1.31
Monte Vista NWR,Default,9,1.68
Monte Vista NWR,Default,9,1.73
Monte Vista NWR,Default,9,1.81
Monte Vista NWR,Default,9,1.98
Monte Vista NWR,Default,9,1.95
Monte Vista NWR,Default,9,2.09
Monte Vista NWR,Default,9,2.15
Monte Vista NWR,Default,9,2.27
Monte Vista NWR,Default,10,0.19
Monte Vista NWR,Default,10,0.23
Monte Vista NWR,Default,10,0.25
Monte Vista NWR,Default,10,0.31
Monte Vista NWR,Default,10,0.68
Monte Vista NWR,Default,10,1.02
Monte Vista NWR,Default,10,0.97
Monte Vista NWR,Default,10,1.15
Monte Vista NWR,Default,10,0.91
Monte Vista NWR,Default,10,1.41
Monte Vista NWR,Default,10,1.21
Monte Vista NWR,Default,10,1.42
Monte Vista NWR,Default,10,1.7
Monte Vista NWR,Default,10,1.66
Monte Vista NWR,Default,10,1.61
Monte Vista NWR,Default,10,1.89
Monte Vista NWR,Default,10,2.16
Monte Vista NWR,Default,11,0.17
Monte Vista NWR,Default,11,0.48
Monte Vista NWR,Default,11,0.59
Monte Vista NWR,Default,11,0.58
Monte Vista NWR,Default,11,0.59
Monte Vista NWR,Default,11,0.63
Monte Vista NWR,Default,11,0.85
Monte Vista NWR,Default,11,0.64
Monte Vista NWR,Default,11,0.67
Monte Vista NWR,Default,11,1
Monte Vista NWR,Default,11,1.41
Monte Vista NWR,Default,11,1.38
Monte Vista NWR,Default,11,1.26
Monte Vista NWR,Default,11,1.35
Monte Vista NWR,Default,11,1.78
Monte Vista NWR,Default,11,1.55
Monte Vista NWR,Default,11,1.58
Monte Vista NWR,Default,11,1.73
Monte Vista NWR,Default,11,1.72
Monte Vista NWR,Default,11,1.86
Monte Vista NWR,Default,11,2.06
Monte Vista NWR,Default,11,2
Monte Vista NWR,Default,11,2.32
Monte Vista NWR,Default,11,2.2
Monte Vista NWR,Default,11,2.25
Monte Vista NWR,Default,12,0.27
Monte Vista NWR,Default,12,0.31
Monte Vista NWR,Default,12,0.77
Monte Vista NWR,Default,12,0.83
Monte Vista NWR,Default,12,0.72
Monte Vista NWR,Default,12,0.64
Monte Vista NWR,Default,12,1.02
Monte Vista NWR,Default,12,1.51
Monte Vista NWR,Default,12,1.76
Monte Vista NWR,Default,12,1.69
Monte Vista NWR,Default,12,2
Monte Vista NWR,Default,12,1.91
Monte Vista NWR,Default,12,1.94
Monte Vista NWR,Default,12,2.07
Monte Vista NWR,Default,12,1.93
Monte Vista NWR,Default,12,1.9
Monte Vista NWR,Default,12,1.88
Monte Vista NWR,Default,12,2.27
Monte Vista NWR,Default,12,2.25
Monte Vista NWR,Default,12,2.36
Monte Vista NWR,Default,13,0.21
Monte Vista NWR,Default,13,0.26
Monte Vista NWR,Default,13,0.05
Monte Vista NWR,Default,13,0.53
Monte Vista NWR,Default,13,0.34
Monte Vista NWR,Default,13,0.82
Monte Vista NWR,Default,13,0.61
Monte Vista NWR,Default,13,0.79
Monte Vista NWR,Default,13,0.86
Monte Vista NWR,Default,13,0.77
Monte Vista NWR,Default,13,0.69
Monte Vista NWR,Default,13,0.74
Monte Vista NWR,Default,13,0.85
Monte Vista NWR,Default,13,1.71
Monte Vista NWR,Default,13,1.68
Monte Vista NWR,Default,13,1.64
Monte Vista NWR,Default,13,1.85
Monte Vista NWR,Default,13,1.98
Monte Vista NWR,Default,13,1.88
Monte Vista NWR,Default,13,2.11
Monte Vista NWR,Default,13,2.18
Monte Vista NWR,Default,13,2.4
Monte Vista NWR,Default,14,0.07
Monte Vista NWR,Default,14,0.04
Monte Vista NWR,Default,14,0.45
Monte Vista NWR,Default,14,0.49
Monte Vista NWR,Default,14,0.54
Monte Vista NWR,Default,14,0.57
Monte Vista NWR,Default,14,0.41
Monte Vista NWR,Default,14,0.53
Monte Vista NWR,Default,14,0.54
Monte Vista NWR,Default,14,0.4
Monte Vista NWR,Default,14,0.66
Monte Vista NWR,Default,14,0.86
Monte Vista NWR,Default,14,1.16
Monte Vista NWR,Default,14,1.18
Monte Vista NWR,Default,14,1.05
Monte Vista NWR,Default,14,0.96
Monte Vista NWR,Default,14,0.91
Monte Vista NWR,Default,14,1.35
Monte Vista NWR,Default,14,1.4
Monte Vista NWR,Default,14,1.46
Monte Vista NWR,Default,14,1.3
Monte Vista NWR,Default,14,1.29
Monte Vista NWR,Default,14,1.68
Monte Vista NWR,Default,14,1.81
Monte Vista NWR,Default,14,2.35
Monte Vista NWR,Default,14,2.29
Monte Vista NWR,Default,15,0.27
Monte Vista NWR,Default,15,0.09
Monte Vista NWR,Default,15,0.2
Monte Vista NWR,Default,15,0.21
Monte Vista NWR,Default,15,0.35
Monte Vista NWR,Default,15,0.57
Monte Vista NWR,Default,15,0.48
Monte Vista NWR,Default,15,0.47
Monte Vista NWR,Default,15,0.69
Monte Vista NWR,Default,15,0.7
Monte Vista NWR,Default,15,0.67
Monte Vista NWR,Default,15,0.68
Monte Vista NWR,Default,15,0.97
Monte Vista NWR,Default,15,0.96
Monte Vista NWR,Default,15,0.98
Monte Vista NWR,Default,15,1.14
Monte Vista NWR,Default,15,0.92
Monte Vista NWR,Default,15,1.02
Monte Vista NWR,Default,15,1.37
Monte Vista NWR,Default,15,1.43
Monte Vista NWR,Default,15,1.4
Monte Vista NWR,Default,15,1.22
Monte Vista NWR,Default,15,1.26
Monte Vista NWR,Default,15,1.44
Monte Vista NWR,Default,15,1.54
Monte Vista NWR,Default,15,1.67
Monte Vista NWR,Default,15,2.07
Monte Vista NWR,Default,15,1.86
Monte Vista NWR,Default,15,1.95
Monte Vista NWR,Default,15,2
Monte Vista NWR,Default,15,2.05
Monte Vista NWR,Default,15,2.12
Monte Vista NWR,Default,16,0.28
Monte Vista NWR,Default,16,0.12
Monte Vista NWR,Default,16,1.02
Monte Vista NWR,Default,16,1.1
Monte Vista NWR,Default,16,1.04
Monte Vista NWR,Default,16,1.22
Monte Vista NWR,Default,16,1.39
Monte Vista NWR,Default,16,1.28
Monte Vista NWR,Default,16,1.23
Monte Vista NWR,Default,16,1.26
Monte Vista NWR,Default,16,1.39
Monte Vista NWR,Default,16,1.48
Monte Vista NWR,Default,16,1.39
Monte Vista NWR,Default,16,1.7
Monte Vista NWR,Default,16,1.9
Monte Vista NWR,Default,16,1.99
Monte Vista NWR,Default,16,1.87
Monte Vista NWR,Default,16,2.31
Monte Vista NWR,Default,16,2.27
Monte Vista NWR,Default,17,0.22
Monte Vista NWR,Default,17,0.18
Monte Vista NWR,Default,17,0.22
Monte Vista NWR,Default,17,0.26
Monte Vista NWR,Default,17,0.36
Monte Vista NWR,Default,17,0.59
Monte Vista NWR,Default,17,0.34
Monte Vista NWR,Default,17,0.36
Monte Vista NWR,Default,17,0.86
Monte Vista NWR,Default,17,0.69
Monte Vista NWR,Default,17,0.67
Monte Vista NWR,Default,17,0.98
Monte Vista NWR,Default,17,0.97
Monte Vista NWR,Default,17,1.06
Monte Vista NWR,Default,17,1.19
Monte Vista NWR,Default,17,1.14
Monte Vista NWR,Default,17,1.45
Monte Vista NWR,Default,17,1.35
Monte Vista NWR,Default,17,1.32
Monte Vista NWR,Default,17,1.48
Monte Vista NWR,Default,17,1.78
Monte Vista NWR,Default,17,1.69
Monte Vista NWR,Default,17,1.62
Monte Vista NWR,Default,17,1.55
Monte Vista NWR,Default,17,1.66
Monte Vista NWR,Default,17,1.71
Monte Vista NWR,Default,17,2.05
Monte Vista NWR,Default,17,2.06
Monte Vista NWR,Default,17,2.38
Monte Vista NWR,Default,17,2.17
Monte Vista NWR,Default,17,2.38
Monte Vista NWR,Default,18,0.24
Monte Vista NWR,Default,18,0.06
Monte Vista NWR,Default,18,0.23
Monte Vista NWR,Default,18,0.23
Monte Vista NWR,Default,18,0.13
Monte Vista NWR,Default,18,0.28
Monte Vista NWR,Default,18,0.37
Monte Vista NWR,Default,18,0.39
Monte Vista NWR,Default,18,0.32
Monte Vista NWR,Default,18,0.47
Monte Vista NWR,Default,18,0.36
Monte Vista NWR,Default,18,0.44
Monte Vista NWR,Default,18,0.84
Monte Vista NWR,Default,18,0.74
Monte Vista NWR,Default,18,0.66
Monte Vista NWR,Default,18,0.85
Monte Vista NWR,Default,18,1.31
Monte Vista NWR,Default,18,1.43
Monte Vista NWR,Default,18,1.33
Monte Vista NWR,Default,18,1.39
Monte Vista NWR,Default,18,1.3
Monte Vista NWR,Default,18,1.36
Monte Vista NWR,Default,18,1.75
Monte Vista NWR,Default,18,1.72
Monte Vista NWR,Default,18,2
Monte Vista NWR,Default,18,2.19
Monte Vista NWR,Default,18,2.38
Monte Vista NWR,Default,18,2.27
Monte Vista NWR,Default,18,2.37
Monte Vista NWR,Default,19,0.23
Monte Vista NWR,Default,19,0.26
Monte Vista NWR,Default,19,0.28
Monte Vista NWR,Default,19,0.03
Monte Vista NWR,Default,19,0.33
Monte Vista NWR,Default,19,0.49
Monte Vista NWR,Default,19,0.7
Monte Vista NWR,Default,19,0.61
Monte Vista NWR,Default,19,0.76
Monte Vista NWR,Default,19,0.7
Monte Vista NWR,Default,19,0.86
Monte Vista NWR,Default,19,1.14
Monte Vista NWR,Default,19,1.05
Monte Vista NWR,Default,19,1.01
Monte Vista NWR,Default,19,1.31
Monte Vista NWR,Default,19,1.49
Monte Vista NWR,Default,19,1.37
Monte Vista NWR,Default,19,1.29
Monte Vista NWR,Default,19,1.31
Monte Vista NWR,Default,19,1.52
Monte Vista NWR,Default,19,1.61
Monte Vista NWR,Default,19,1.51
Monte Vista NWR,Default,19,1.76
Monte Vista NWR,Default,19,1.63
Monte Vista NWR,Default,19,1.84
Monte Vista NWR,Default,19,2.29
Monte Vista NWR,Default,19,2.27
Monte Vista NWR,Default,20,0.19
Monte Vista NWR,Default,20,0.23
Monte Vista NWR,Default,20,0.27
Monte Vista NWR,Default,20,0.08
Monte Vista NWR,Default,20,0.19
Monte Vista NWR,Default,20,0.55
Monte Vista NWR,Default,20,0.62
Monte Vista NWR,Default,20,0.71
Monte Vista NWR,Default,20,0.73
Monte Vista NWR,Default,20,0.76
Monte Vista NWR,Default,20,0.85
Monte Vista NWR,Default,20,0.84
Monte Vista NWR,Default,20,0.71
Monte Vista NWR,Default,20,1.06
Monte Vista NWR,Default,20,1.18
Monte Vista NWR,Default,20,1
Monte Vista NWR,Default,20,0.94
Monte Vista NWR,Default,20,1.05
Monte Vista NWR,Default,20,1.31
Monte Vista NWR,Default,20,1.38
Monte Vista NWR,Default,20,1.27
Monte Vista NWR,Default,20,1.21
Monte Vista NWR,Default,20,1.51
Monte Vista NWR,Default,20,1.84
Monte Vista NWR,Default,20,1.92
Monte Vista NWR,Default,20,1.94
Monte Vista NWR,Default,20,2.18
Monte Vista NWR,Default,20,2.26
Monte Vista NWR,Default,20,2.36
Monte Vista NWR,Default,20,2.32
Monte Vista NWR,Default,20,2.38
Monte Vista NWR,Default,20,2.13
